DebayerTime,fMapTime,iMapTime
1121,4658,4811
1138,5098,4469
1264,4776,4409
1227,4732,4461
1134,5028,4506
1294,4797,4460
1238,4868,4598
2031,4741,4575
1232,4992,4489
1247,4907,4642
1112,4689,4451
1162,5188,4480
1366,4932,4708
1156,4696,4375
1176,4740,4841
1221,5068,4386
1242,4756,4618
1129,4673,4724
1189,5358,4510
1165,4795,4401
1252,4821,4615
1187,4760,4598
1173,5035,4460
1180,4895,4588
1259,4673,4541
1152,4967,4494
1302,4785,4468
1264,4830,4454
1246,4738,4529
1260,5017,4473
1216,4775,4386
1253,4787,4639
1207,5214,4479
1310,4845,4458
1139,4696,4406
1290,4891,4836
1211,5238,4522
1149,4869,4429
1245,4923,4795
1158,5215,4510
1362,4826,4414
1149,4700,4378
1128,4713,4742
1202,5239,4534
1167,4715,4412
1176,4735,4381
1191,4734,4804
1224,5180,4490
1236,4673,4429
1227,4740,4717
1209,5301,4463
1094,4894,4429
1235,4778,4630
1233,5885,4554
1258,4791,4399
1196,4749,4441
1191,4678,4544
1240,5130,4480
1169,4847,4567
1146,4748,4474
1205,5120,4523
1197,4809,4465
1294,4842,4776
1280,4747,4717
1231,5022,4481
1144,4701,4431
1102,4746,4381
1157,4745,4612
1131,5033,4463
1189,4946,4578
1213,4722,4515
1214,5120,4496
1201,4689,4418
1174,4697,4378
1259,4872,4664
1227,5080,4390
1113,4674,4450
1282,4688,4779
1173,5324,4661
1068,4816,4455
1178,4710,4477
1188,5297,4681
1388,4801,4640
1158,4807,4469
1286,4661,5057
1253,5234,4669
1230,4675,4420
1200,4869,4899
1165,5200,4685
1144,4811,4465
1153,4728,4407
1200,5023,4477
1319,4836,4475
1265,4700,4419
1220,4812,4797
1247,5296,4515
1253,4904,4571
1198,4718,4544
1182,5123,4528
1236,4911,4606
1147,4770,4677
1290,5292,4575
1329,4771,4429
1293,4887,4581
1242,4720,4695
1244,5385,4549
1119,4781,4416
1282,5006,4696
1151,5282,4560
1365,4834,4425
1172,4824,4589
1289,5144,4692
1262,5086,4487
1295,4904,4602
1167,4826,4770
1210,5395,4520
1182,4672,4437
1145,4767,4370
1170,4789,4837
1257,5174,4508
1169,4772,4377
1140,4734,4709
1273,5373,4522
1148,4813,4464
1178,4894,4622
1315,5015,4768
1231,5011,4383
1283,4972,4603
1125,4820,4801
1278,5365,4459
1047,4719,4382
1121,4768,4383
1221,5081,4751
1280,5123,5175
1113,4686,4397
1156,4815,4549
1183,4999,4480
1255,4897,4628
1167,4677,4402
1178,4970,4570
1208,4762,4426
1168,4704,4384
1140,4677,4540
1214,5094,4460
1191,4685,4389
1238,5175,4504
1226,4931,4500
1222,5255,4527
1145,4764,4366
1153,4695,4561
1280,5116,4508
1259,4809,4453
1206,4704,4431
1238,5111,4487
1265,4791,4480
1169,4840,4381
1130,4758,4533
1182,5022,4488
1147,4867,4645
1247,4691,4502
1189,5158,4505
1267,4721,4411
1167,4778,4463
1158,4789,4506
1181,5016,4470
1166,4911,4676
1227,4691,4443
1209,4970,4475
1231,4783,4482
1186,4688,4405
1202,4828,4756
1151,5243,4715
1219,4844,4579
1153,4790,4659
1151,5210,4520
1371,4848,4408
1185,4831,4525
1191,4736,4750
1184,5266,4498
1179,4760,4366
1174,4774,4757
1169,5272,4544
1189,4653,4438
1215,4946,4901
1178,5252,4541
1135,4805,4441
1211,4773,4424
1130,4986,4478
1213,4798,4446
1283,4933,4613
1189,4676,4531
1229,5030,4790
1285,4792,4508
1215,4845,4466
1248,4737,4515
1241,4918,4551
1270,4781,4558
1243,4918,4478
1299,4942,4563
1232,4926,4439
1243,4812,4431
1241,4810,4588
1210,4753,4521
1242,4793,4574
1266,5082,4464
1258,4754,4441
1259,4885,4525
1245,4841,4441
1212,4872,4532
1321,4821,4349
1237,4896,4923
1242,4798,4507
1236,4879,4485
1243,4734,4438
1203,4867,4456
1246,4764,4425
1248,4989,4451
1240,4778,4633
1241,4790,4868
1200,4834,4653
1240,4768,4804
1211,4775,4619
1194,4684,4728
1261,5203,4537
1201,4761,4995
1276,4930,4614
1305,4741,4723
1236,4959,4609
1198,4744,4504
1220,4935,4513
1252,4706,4312
1291,4994,4431
1249,4677,4432
1243,4871,4566
1243,4850,4454
1242,4892,4495
1260,4792,4488
1267,4808,4586
1247,4905,4460
1300,4858,4886
1185,4827,4474
1213,4691,4719
1203,4793,4416
1235,4789,4468
1218,4914,4528
1240,4834,4586
1205,4892,4485
1243,4840,4465
1267,4862,4528
1259,4837,4518
1241,4791,4531
1236,4839,4323
1291,4844,4479
1291,4879,4643
1245,4838,4438
1244,4884,4529
1241,4882,4525
1245,4837,4576
1255,4907,4684
1258,4860,4628
1242,4695,4769
1193,4851,4645
1238,4669,4752
1249,4930,4612
1250,4739,4823
1249,4821,4667
1252,4930,4665
1255,4842,4609
1236,4713,4756
1276,4802,4676
1233,4759,4836
1222,5206,4613
1211,4786,4398
1218,4771,4629
1254,4678,5045
1254,4750,4665
1252,4793,5234
1258,4868,4621
1231,4792,5015
1260,4866,4634
1253,4730,5000
1247,4891,4618
1292,4715,4658
1277,5152,4492
1263,4835,4499
1307,5031,4525
1246,4804,4507
1231,4811,4689
1216,4841,4524
1293,4847,4804
1335,5257,4449
1269,4736,4810
1211,5016,4474
1282,5294,4349
1250,4937,4627
1230,4936,4631
1231,4899,4722
1240,4847,4611
1272,5154,4505
1268,4862,4451
1242,5057,4580
1212,4819,4512
1248,4711,4712
1301,4836,4508
1200,4680,4777
1295,5199,4509
1255,4740,4993
1264,5100,4469
1264,4789,4653
1291,5104,4512
1240,4698,4463
1237,5073,4449
1260,4800,4457
1202,5083,4513
1298,4662,4337
1265,5126,4428
1242,4690,4945
1345,4833,4471
1302,4858,5005
1369,4827,4440
1288,4947,4842
1296,4802,4453
1241,4714,4958
1287,4926,4440
1242,4786,5086
1296,5004,4463
1253,4762,4660
1264,5036,4457
1256,4700,4450
1242,5020,4478
1244,4874,4527
1227,5006,4508
1247,4800,4449
1241,4779,4788
1452,4873,4520
1303,4866,4493
1253,5063,4467
1267,5015,5099
1258,4848,4495
1237,4718,4660
1240,4898,4514
1204,4699,4448
1241,5064,4554
1292,4933,4566
1259,4844,4519
1258,4802,4449
1242,4916,4463
1224,4882,4656
1241,4763,4840
1308,4830,4656
1251,4752,4945
1344,5214,4571
1214,4695,5151
1309,4691,4616
1231,4784,5001
1242,5027,4609
1246,4665,4383
1223,4843,4632
1242,4772,4949
1290,5034,4613
1288,4755,5023
1252,5026,4633
1225,4794,5126
1242,5046,4639
1241,4810,5099
1241,4940,4631
1070,4820,4732
1202,5024,4682
1208,4799,4665
1254,4897,4851
1190,4815,4640
1254,4870,4745
1260,5188,4670
1298,4776,5149
1252,4928,4659
1272,4814,4929
1220,5009,4689
1206,5099,4815
1244,4782,4635
1240,4838,4808
1248,4767,4621
